"id","name","symbol","description","createdAt","creatorAddress","uniqueHolders","mediaMimeType","totalSupply","totalVolume","volume24h","marketCap","address","mediaPreviewUrl","marketCapDelta24h","mediaOriginalUri","scrapedAt","transferCount","updatedAt"
"034bc66f-344d-4f96-bf9f-ed7596a1edc9","Snake vibes","Snake vibes",,"2025-02-23 17:35:27","0xc6c3fd75259eedb377a9e50bacb8bfb8a3a7db64","3","image/jpeg","1000000000","0.33","0.0","6309.08","0xee65d43cd085d4c481b70da3505cd5a6ed965c17","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWRrYWc3YmV6cmU2bHJ1bGRqdTR3ZjR6d3hva281ZDV2cnoycmhhYjNjbnhnZ3VhdXFpbHU=","0.0","ipfs://bafybeidkag7bezre6lruldju4wf4zwxoko5d5vrz2rhab3cnxgguauqilu","2025-04-05 18:11:40.272","5","2025-04-05 18:11:40.272"
"03a3e278-a88c-4577-8194-0e08cb25816b","GkendhcXcAAKShq","GkendhcXcAAKShq","Sweet","2025-02-23 17:11:49","0x708e6e5eb3fa26e96c2eda0d987eb2a73b7c0217","4","image/jpeg","1000000000","0.3","0.0","6309.79","0x33363e85a669b07a3fe7b70c140694cccc5c4678","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWRxaTNheXdvbG5oZjdubWJ0emkzdXVpZTM2cXd0a3hsZ2RocmNoM3AzcDV3aWl4eTV0dW0=","0.0","ipfs://bafybeidqi3aywolnhf7nmbtzi3uuie36qwtkxlgdhrch3p3p5wiixy5tum","2025-04-05 18:11:25.755","5","2025-04-05 18:11:25.755"
"044f44a9-d8b8-46a8-91b1-9932f352f66c","Hufflepuff","Hufflepuff",,"2025-03-05 03:47:25","0xd36d589d2f626927f1a630277582d58890290c87","48","image/jpeg","1000000000","8928.56","43.32","6366.80","0x01f6ecdf63df2eadf84bbf7b649c89eb1bc74927","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWhydW1tZ3B6a2hlZTd5d3lybHR4emN1N29ocTRwd2dnbzV4bWh0cDJ6ZzJtdWV2c3l6b3U=","-94.82","ipfs://bafybeihrummgpzkhee7ywyrltxzcu7ohq4pwggo5xmhtp2zg2muevsyzou","2025-04-05 14:07:08.361","1850","2025-04-05 18:09:43.339"
"0534a108-44ab-4a14-8ae6-8125841731a4","3/18/25, 11:02 PM","3/18/25, 11:02 PM",,"2025-03-19 03:02:57","0x5e384ba3ed638eb7e17db46ca75e5264d061c719","376","image/jpeg","1000000000","9991.03","189.25","1885.36","0x487e47e649208a801ecdfd5c7c79fa9eac6b89e9","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWNvZ3JlY2V2ZWwyZTc0cHpybXRqZnR5cmNoZXFia3Iyd3p2bG54NGc2ZWFxbWtqYWJqZTQ=","-257.1","ipfs://bafybeicogrecevel2e74pzrmtjftyrcheqbkr2wzvlnx4g6eaqmkjabje4","2025-04-05 14:07:25.304","1762","2025-04-05 14:07:25.304"
"0920150a-5df1-427f-96a7-eb083befbc35","grey","grey",,"2025-02-23 23:36:53","0xb61c855096311c0bde071c6dfff6e3bc121c738a","4","image/png","1000000000","185.11","0.0","6331.75","0x628da3f50c8f770b5006fa4bc6b605316e0459c4","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWNyaXpqYTRwdTRtcjZwYXp4MmoybXFjNXJpeXBwNzJqdnp6c2dhdXNtdjRlbHd4a2EyY2k=","0.0","ipfs://bafybeicrizja4pu4mr6pazx2j2mqc5riypp72jvzzsgausmv4elwxka2ci","2025-04-05 18:09:54.534","21","2025-04-05 18:09:54.534"
"0e10c7b2-68fb-49b8-a63e-5c1f17096668","COINtinue?","COINtinue?","YES: BUY
NO: BUY MORE","2025-02-23 09:01:55","0x2fbe30b2f53916d9bc2c37f19afb7c2cf848b661","8","image/jpeg","1000000000","23.96","0.0","6309.87","0xea9cc0cdd3d72e641609bc0bac28ced9d43ee39a","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWRuMjVtenpkc2g2Yjc1ZmNyNWRpaGpvbTJjNzRkNnJnYnRrNm5scmp0ZmoyNnh6M2tzYWE=","0.0","ipfs://bafybeidn25mzzdsh6b75fcr5dihjom2c74d6rgbtk6nlrjtfj26xz3ksaa","2025-04-05 18:11:22.915","16","2025-04-05 18:11:22.915"
"1032dcb6-21ad-4f32-9c6f-ed5de94dd45d","9f3e09dd4bb14eece6bbb5f3840b6aab86e14b24-5661x3774","9f3e09dd4bb14eece6bbb5f3840b6aab86e14b24-5661x3774","WILL  BE  FREE","2025-02-23 07:42:31","0x9a03b850c258280e93154909f68dba673f15cb19","3","image/jpeg","1000000000","1.66","0.0","6315.08","0x5161e0ba52215a6ed15bb829efa6c140c4c3dd4f","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWU1MnhtNzRtZmhycHdiNXhidWVkYWk3eDdqN3Q2M2Mzd3BycXY2YXBtZGpoYTZna2Q0amk=","0.0","ipfs://bafybeie52xm74mfhrpwb5xbuedai7x7j7t63c3wprqv6apmdjha6gkd4ji","2025-04-05 18:10:15.45","47","2025-04-05 18:10:15.45"
"104b0083-f874-41d5-b10e-128af2590b78","the eternal is real cause the things we love never die","the eternal is real cause the things we love never die",,"2025-04-01 17:37:31","0xb6a097370f32223414095b907d79ae73eab5aee7","18","image/png","1000000000","378.75","374.95","1663.68","0xd8431be2a0bf37794971f2ef101ef4d94e75856c","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWdjZ3FteG5nb3JuMnVqdW53b2s1Mng1d3htYnR6dDZsZjdyZHd2MnFhMnd2Z2x5ZnJrdmE=","-1.21","ipfs://bafybeigcgqmxngorn2ujunwok52x5wxmbtzt6lf7rdwv2qa2wvglyfrkva","2025-04-05 14:05:15.585","40","2025-04-05 14:05:15.585"
"1073ad21-55a4-4256-abaa-73f5a1089afb","dogy","dogy",,"2025-02-23 15:00:49","0x0b906a7c920f0bb26e728075e1862c3fef4281df","3","image/jpeg","1000000000","1.39","0.0","6308.80","0xa937bda49b087d0fe72d980831807a8333843a17","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWY3c2o0cWlwN3hrNXVmb2l1eHp3endxaWVmNXR2enRhdmR5dXA3YzNocHA0ZXhpZ2xiZGk=","0.0","ipfs://bafybeif7sj4qip7xk5ufoiuxzwzwqief5tvztavdyup7c3hpp4exiglbdi","2025-04-05 18:11:57.223","24","2025-04-05 18:11:57.223"
"11de0c85-e1f2-474c-a37e-ea3291a62bbe","it feels like this","it feels like this",,"2025-04-03 12:26:57","0xb6a097370f32223414095b907d79ae73eab5aee7","57","image/png","1000000000","395.44","391.95","1654.03","0xd25cc2ff6ae4bc8dd219fe8e2cd0e5557bfc9c53","https://media.decentralized-content.com/-/rs:fit:600:600/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWNkZmUzdHB5cm9tcGNoenp5b3pvZTJ1c2c2N3ZtczVyamk2azNicWY2aTdzZzVrbnZ5aGU=","24.29","ipfs://bafybeicdfe3tpyrompchzzyozoe2usg67vms5rji6k3bqf6i7sg5knvyhe","2025-04-05 14:05:05.763","95","2025-04-05 14:05:05.763"
